Time,Temperature(°C),Precipitation(mm),Cloudcover(%),Pressure(hPa),Wind Speed(km / h),Dewpoint(°C)
03 06 2018 19:10,10.5,0.1,35,909.3,22.6,3.2
03 06 2018 19:20,10.5,0.1,35,909.3,22.6,3.2
03 06 2018 19:30,10.5,0.1,35,909.3,22.6,3.2
03 06 2018 19:40,10.5,0.1,35,909.3,22.6,3.2
03 06 2018 19:50,10.5,0.1,35,909.3,22.6,3.2
03 06 2018 20:00,11.1,0,26,909.1,23.7,2.1
03 06 2018 20:10,11.1,0,26,909.1,23.7,2.1
03 06 2018 20:20,11.1,0,26,909.1,23.7,2.1
03 06 2018 20:30,11.1,0,26,909.1,23.7,2.1
03 06 2018 20:40,11.1,0,26,909.1,23.7,2.1
03 06 2018 20:50,11.1,0,26,909.1,23.7,2.1
03 06 2018 21:00,11.2,0,28,908.1,18.4,1.3
03 06 2018 21:10,11.2,0,28,908.1,18.4,1.3
03 06 2018 21:20,11.2,0,28,908.1,18.4,1.3
03 06 2018 21:30,11.2,0,28,908.1,18.4,1.3
03 06 2018 21:40,11.2,0,28,908.1,18.4,1.3
03 06 2018 21:50,11.2,0,28,908.1,18.4,1.3
03 06 2018 22:00,11.3,0,2,907.4,18.1,0.3
03 06 2018 22:10,11.3,0,2,907.4,18.1,0.3
03 06 2018 22:20,11.3,0,2,907.4,18.1,0.3
03 06 2018 22:30,11.3,0,2,907.4,18.1,0.3
03 06 2018 22:40,11.3,0,2,907.4,18.1,0.3
03 06 2018 22:50,11.3,0,2,907.4,18.1,0.3
03 06 2018 23:00,10.7,0,17,906.9,15.8,0.4
03 06 2018 23:10,10.7,0,17,906.9,15.8,0.4
03 06 2018 23:20,10.7,0,17,906.9,15.8,0.4
03 06 2018 23:30,10.7,0,17,906.9,15.8,0.4
03 06 2018 23:40,10.7,0,17,906.9,15.8,0.4
03 06 2018 23:50,10.7,0,17,906.9,15.8,0.4
03 07 2018 00:00,10.1,0,17,906.6,14.5,0.7
03 07 2018 00:10,10.1,0,17,906.6,14.5,0.7
03 07 2018 00:20,10.1,0,17,906.6,14.5,0.7
03 07 2018 00:30,10.1,0,17,906.6,14.5,0.7
03 07 2018 00:40,10.1,0,17,906.6,14.5,0.7
03 07 2018 00:50,10.1,0,17,906.6,14.5,0.7
03 07 2018 01:00,10.8,0,50,907,18,0.5
03 07 2018 01:10,10.8,0,50,907,18,0.5
03 07 2018 01:20,10.8,0,50,907,18,0.5
03 07 2018 01:30,10.8,0,50,907,18,0.5
03 07 2018 01:40,10.8,0,50,907,18,0.5
03 07 2018 01:50,10.8,0,50,907,18,0.5
03 07 2018 02:00,11.6,0,46,907.2,14.7,1.9
03 07 2018 02:10,11.6,0,46,907.2,14.7,1.9
03 07 2018 02:20,11.6,0,46,907.2,14.7,1.9
03 07 2018 02:30,11.6,0,46,907.2,14.7,1.9
03 07 2018 02:40,11.6,0,46,907.2,14.7,1.9
03 07 2018 02:50,11.6,0,46,907.2,14.7,1.9
03 07 2018 03:00,13.5,0,60,908.7,17.2,2.2
03 07 2018 03:10,13.5,0,60,908.7,17.2,2.2
03 07 2018 03:20,13.5,0,60,908.7,17.2,2.2
03 07 2018 03:30,13.5,0,60,908.7,17.2,2.2
03 07 2018 03:40,13.5,0,60,908.7,17.2,2.2
03 07 2018 03:50,13.5,0,60,908.7,17.2,2.2
03 07 2018 04:00,14.6,0,41,909,14.3,3.2
03 07 2018 04:10,14.6,0,41,909,14.3,3.2
03 07 2018 04:20,14.6,0,41,909,14.3,3.2
03 07 2018 04:30,14.6,0,41,909,14.3,3.2
03 07 2018 04:40,14.6,0,41,909,14.3,3.2
03 07 2018 04:50,14.6,0,41,909,14.3,3.2
03 07 2018 05:00,15.9,0,42,909.6,16.3,4.1
03 07 2018 05:10,15.9,0,42,909.6,16.3,4.1
03 07 2018 05:20,15.9,0,42,909.6,16.3,4.1
03 07 2018 05:30,15.9,0,42,909.6,16.3,4.1
03 07 2018 05:40,15.9,0,42,909.6,16.3,4.1
03 07 2018 05:50,15.9,0,42,909.6,16.3,4.1
03 07 2018 06:00,16.7,0,12,909.6,22.2,5.1
03 07 2018 06:10,16.7,0,12,909.6,22.2,5.1
03 07 2018 06:20,16.7,0,12,909.6,22.2,5.1
03 07 2018 06:30,16.7,0,12,909.6,22.2,5.1
03 07 2018 06:40,16.7,0,12,909.6,22.2,5.1
03 07 2018 06:50,16.7,0,12,909.6,22.2,5.1
03 07 2018 07:00,16.5,0,48,909.2,29.7,5.2
03 07 2018 07:10,16.5,0,48,909.2,29.7,5.2
03 07 2018 07:20,16.5,0,48,909.2,29.7,5.2
03 07 2018 07:30,16.5,0,48,909.2,29.7,5.2
03 07 2018 07:40,16.5,0,48,909.2,29.7,5.2
03 07 2018 07:50,16.5,0,48,909.2,29.7,5.2
03 07 2018 08:00,15.5,0,32,909.5,16.6,6.4
03 07 2018 08:10,15.5,0,32,909.5,16.6,6.4
03 07 2018 08:20,15.5,0,32,909.5,16.6,6.4
03 07 2018 08:30,15.5,0,32,909.5,16.6,6.4
03 07 2018 08:40,15.5,0,32,909.5,16.6,6.4
03 07 2018 08:50,15.5,0,32,909.5,16.6,6.4
03 07 2018 09:00,15.4,0,39,909.7,13.8,7
03 07 2018 09:10,15.4,0,39,909.7,13.8,7
03 07 2018 09:20,15.4,0,39,909.7,13.8,7
03 07 2018 09:30,15.4,0,39,909.7,13.8,7
03 07 2018 09:40,15.4,0,39,909.7,13.8,7
03 07 2018 09:50,15.4,0,39,909.7,13.8,7
03 07 2018 10:00,14.3,0,21,909.3,6,7.1
03 07 2018 10:10,14.3,0,21,909.3,6,7.1
03 07 2018 10:20,14.3,0,21,909.3,6,7.1
03 07 2018 10:30,14.3,0,21,909.3,6,7.1
03 07 2018 10:40,14.3,0,21,909.3,6,7.1
03 07 2018 10:50,14.3,0,21,909.3,6,7.1
03 07 2018 11:00,13.5,0.7,31,909.3,4.7,7.1
03 07 2018 11:10,13.5,0.7,31,909.3,4.7,7.1
03 07 2018 11:20,13.5,0.7,31,909.3,4.7,7.1
03 07 2018 11:30,13.5,0.7,31,909.3,4.7,7.1
03 07 2018 11:40,13.5,0.7,31,909.3,4.7,7.1
03 07 2018 11:50,13.5,0.7,31,909.3,4.7,7.1
03 07 2018 12:00,11.4,1.1,31,908.9,6.4,5.5
03 07 2018 12:10,11.4,1.1,31,908.9,6.4,5.5
03 07 2018 12:20,11.4,1.1,31,908.9,6.4,5.5
03 07 2018 12:30,11.4,1.1,31,908.9,6.4,5.5
03 07 2018 12:40,11.4,1.1,31,908.9,6.4,5.5
03 07 2018 12:50,11.4,1.1,31,908.9,6.4,5.5
03 07 2018 13:00,11.4,0.5,24,909.3,5.4,4.4
03 07 2018 13:10,11.4,0.5,24,909.3,5.4,4.4
03 07 2018 13:20,11.4,0.5,24,909.3,5.4,4.4
03 07 2018 13:30,11.4,0.5,24,909.3,5.4,4.4
03 07 2018 13:40,11.4,0.5,24,909.3,5.4,4.4
03 07 2018 13:50,11.4,0.5,24,909.3,5.4,4.4
03 07 2018 14:00,8.6,0.4,47,908.5,7.1,4.4
03 07 2018 14:10,8.6,0.4,47,908.5,7.1,4.4
03 07 2018 14:20,8.6,0.4,47,908.5,7.1,4.4
03 07 2018 14:30,8.6,0.4,47,908.5,7.1,4.4
03 07 2018 14:40,8.6,0.4,47,908.5,7.1,4.4
03 07 2018 14:50,8.6,0.4,47,908.5,7.1,4.4
03 07 2018 15:00,8.9,1.9,60,909.1,6.9,4.1
03 07 2018 15:10,8.9,1.9,60,909.1,6.9,4.1
03 07 2018 15:20,8.9,1.9,60,909.1,6.9,4.1
03 07 2018 15:30,8.9,1.9,60,909.1,6.9,4.1
03 07 2018 15:40,8.9,1.9,60,909.1,6.9,4.1
03 07 2018 15:50,8.9,1.9,60,909.1,6.9,4.1
03 07 2018 16:00,10,3.2,79,910,5.5,3.8
03 07 2018 16:10,10,3.2,79,910,5.5,3.8
03 07 2018 16:20,10,3.2,79,910,5.5,3.8
03 07 2018 16:30,10,3.2,79,910,5.5,3.8
03 07 2018 16:40,10,3.2,79,910,5.5,3.8
03 07 2018 16:50,10,3.2,79,910,5.5,3.8
03 07 2018 17:00,7.9,1.4,58,909.4,6.6,5.8
03 07 2018 17:10,7.9,1.4,58,909.4,6.6,5.8
03 07 2018 17:20,7.9,1.4,58,909.4,6.6,5.8
03 07 2018 17:30,7.9,1.4,58,909.4,6.6,5.8
03 07 2018 17:40,7.9,1.4,58,909.4,6.6,5.8
03 07 2018 17:50,7.9,1.4,58,909.4,6.6,5.8
03 07 2018 18:00,8.5,0.2,50,909,6.9,5.9
03 07 2018 18:10,8.5,0.2,50,909,6.9,5.9
03 07 2018 18:20,8.5,0.2,50,909,6.9,5.9
03 07 2018 18:30,8.5,0.2,50,909,6.9,5.9
03 07 2018 18:40,8.5,0.2,50,909,6.9,5.9
03 07 2018 18:50,8.5,0.2,50,909,6.9,5.9
03 07 2018 19:00,7.9,0.3,50,908.9,7.2,5.3
03 07 2018 19:10,7.9,0.3,50,908.9,7.2,5.3
03 07 2018 19:20,7.9,0.3,50,908.9,7.2,5.3
03 07 2018 19:30,7.9,0.3,50,908.9,7.2,5.3
03 07 2018 19:40,7.9,0.3,50,908.9,7.2,5.3
03 07 2018 19:50,7.9,0.3,50,908.9,7.2,5.3
03 07 2018 20:00,9.7,0.1,44,909.4,8.4,4.2
03 07 2018 20:10,9.7,0.1,44,909.4,8.4,4.2
03 07 2018 20:20,9.7,0.1,44,909.4,8.4,4.2
03 07 2018 20:30,9.7,0.1,44,909.4,8.4,4.2
03 07 2018 20:40,9.7,0.1,44,909.4,8.4,4.2
03 07 2018 20:50,9.7,0.1,44,909.4,8.4,4.2
03 07 2018 21:00,7.9,0.3,44,908.2,8.4,5
03 07 2018 21:10,7.9,0.3,44,908.2,8.4,5
03 07 2018 21:20,7.9,0.3,44,908.2,8.4,5
03 07 2018 21:30,7.9,0.3,44,908.2,8.4,5
03 07 2018 21:40,7.9,0.3,44,908.2,8.4,5
03 07 2018 21:50,7.9,0.3,44,908.2,8.4,5
03 07 2018 22:00,7.3,0.1,75,907.6,6.8,4.8
03 07 2018 22:10,7.3,0.1,75,907.6,6.8,4.8
03 07 2018 22:20,7.3,0.1,75,907.6,6.8,4.8
03 07 2018 22:30,7.3,0.1,75,907.6,6.8,4.8
03 07 2018 22:40,7.3,0.1,75,907.6,6.8,4.8
03 07 2018 22:50,7.3,0.1,75,907.6,6.8,4.8
03 07 2018 23:00,7.9,0.1,82,907.7,5.7,5
03 07 2018 23:10,7.9,0.1,82,907.7,5.7,5
03 07 2018 23:20,7.9,0.1,82,907.7,5.7,5
03 07 2018 23:30,7.9,0.1,82,907.7,5.7,5
03 07 2018 23:40,7.9,0.1,82,907.7,5.7,5
03 07 2018 23:50,7.9,0.1,82,907.7,5.7,5
03 08 2018 00:00,8.1,0.4,100,907.6,3.7,5.1
03 08 2018 00:10,8.1,0.4,100,907.6,3.7,5.1
03 08 2018 00:20,8.1,0.4,100,907.6,3.7,5.1
03 08 2018 00:30,8.1,0.4,100,907.6,3.7,5.1
03 08 2018 00:40,8.1,0.4,100,907.6,3.7,5.1
03 08 2018 00:50,8.1,0.4,100,907.6,3.7,5.1
03 08 2018 01:00,9.2,1.3,100,908,1.5,5.5
03 08 2018 01:10,9.2,1.3,100,908,1.5,5.5
03 08 2018 01:20,9.2,1.3,100,908,1.5,5.5
03 08 2018 01:30,9.2,1.3,100,908,1.5,5.5
03 08 2018 01:40,9.2,1.3,100,908,1.5,5.5
03 08 2018 01:50,9.2,1.3,100,908,1.5,5.5
03 08 2018 02:00,9,1.3,100,907.7,2.5,6.6
03 08 2018 02:10,9,1.3,100,907.7,2.5,6.6
03 08 2018 02:20,9,1.3,100,907.7,2.5,6.6
03 08 2018 02:30,9,1.3,100,907.7,2.5,6.6
03 08 2018 02:40,9,1.3,100,907.7,2.5,6.6
03 08 2018 02:50,9,1.3,100,907.7,2.5,6.6
03 08 2018 03:00,8.9,1.3,100,907.4,4.7,6.7
03 08 2018 03:10,8.9,1.3,100,907.4,4.7,6.7
03 08 2018 03:20,8.9,1.3,100,907.4,4.7,6.7
03 08 2018 03:30,8.9,1.3,100,907.4,4.7,6.7
03 08 2018 03:40,8.9,1.3,100,907.4,4.7,6.7
03 08 2018 03:50,8.9,1.3,100,907.4,4.7,6.7
03 08 2018 04:00,8.9,1.5,100,907,5.4,6.7
03 08 2018 04:10,8.9,1.5,100,907,5.4,6.7
03 08 2018 04:20,8.9,1.5,100,907,5.4,6.7
03 08 2018 04:30,8.9,1.5,100,907,5.4,6.7
03 08 2018 04:40,8.9,1.5,100,907,5.4,6.7
03 08 2018 04:50,8.9,1.5,100,907,5.4,6.7
03 08 2018 05:00,8.8,1.3,100,906.9,9.5,6.1
03 08 2018 05:10,8.8,1.3,100,906.9,9.5,6.1
03 08 2018 05:20,8.8,1.3,100,906.9,9.5,6.1
03 08 2018 05:30,8.8,1.3,100,906.9,9.5,6.1
03 08 2018 05:40,8.8,1.3,100,906.9,9.5,6.1
03 08 2018 05:50,8.8,1.3,100,906.9,9.5,6.1
03 08 2018 06:00,8.2,1.5,100,906.7,13.9,5.9
03 08 2018 06:10,8.2,1.5,100,906.7,13.9,5.9
03 08 2018 06:20,8.2,1.5,100,906.7,13.9,5.9
03 08 2018 06:30,8.2,1.5,100,906.7,13.9,5.9
03 08 2018 06:40,8.2,1.5,100,906.7,13.9,5.9
03 08 2018 06:50,8.2,1.5,100,906.7,13.9,5.9
03 08 2018 07:00,7.6,1.3,100,906.2,19.2,5.8
03 08 2018 07:10,7.6,1.3,100,906.2,19.2,5.8
03 08 2018 07:20,7.6,1.3,100,906.2,19.2,5.8
03 08 2018 07:30,7.6,1.3,100,906.2,19.2,5.8
03 08 2018 07:40,7.6,1.3,100,906.2,19.2,5.8
03 08 2018 07:50,7.6,1.3,100,906.2,19.2,5.8
03 08 2018 08:00,6.9,1.3,100,906.7,11.7,5
03 08 2018 08:10,6.9,1.3,100,906.7,11.7,5
03 08 2018 08:20,6.9,1.3,100,906.7,11.7,5
03 08 2018 08:30,6.9,1.3,100,906.7,11.7,5
03 08 2018 08:40,6.9,1.3,100,906.7,11.7,5
03 08 2018 08:50,6.9,1.3,100,906.7,11.7,5
03 08 2018 09:00,7,1.1,86,906.6,6.9,4.1
03 08 2018 09:10,7,1.1,86,906.6,6.9,4.1
03 08 2018 09:20,7,1.1,86,906.6,6.9,4.1
03 08 2018 09:30,7,1.1,86,906.6,6.9,4.1
03 08 2018 09:40,7,1.1,86,906.6,6.9,4.1
03 08 2018 09:50,7,1.1,86,906.6,6.9,4.1
03 08 2018 10:00,6.6,0.5,86,906.7,7.4,3.5
03 08 2018 10:10,6.6,0.5,86,906.7,7.4,3.5
03 08 2018 10:20,6.6,0.5,86,906.7,7.4,3.5
03 08 2018 10:30,6.6,0.5,86,906.7,7.4,3.5
03 08 2018 10:40,6.6,0.5,86,906.7,7.4,3.5
03 08 2018 10:50,6.6,0.5,86,906.7,7.4,3.5
03 08 2018 11:00,6.4,0.1,79,906.9,6.1,3.1
03 08 2018 11:10,6.4,0.1,79,906.9,6.1,3.1
03 08 2018 11:20,6.4,0.1,79,906.9,6.1,3.1
03 08 2018 11:30,6.4,0.1,79,906.9,6.1,3.1
03 08 2018 11:40,6.4,0.1,79,906.9,6.1,3.1
03 08 2018 11:50,6.4,0.1,79,906.9,6.1,3.1
03 08 2018 12:00,5.6,0,93,907.2,3.9,3.6
03 08 2018 12:10,5.6,0,93,907.2,3.9,3.6
03 08 2018 12:20,5.6,0,93,907.2,3.9,3.6
03 08 2018 12:30,5.6,0,93,907.2,3.9,3.6
03 08 2018 12:40,5.6,0,93,907.2,3.9,3.6
03 08 2018 12:50,5.6,0,93,907.2,3.9,3.6
03 08 2018 13:00,5.5,0,100,907.9,3.7,3.4
03 08 2018 13:10,5.5,0,100,907.9,3.7,3.4
03 08 2018 13:20,5.5,0,100,907.9,3.7,3.4
03 08 2018 13:30,5.5,0,100,907.9,3.7,3.4
03 08 2018 13:40,5.5,0,100,907.9,3.7,3.4
03 08 2018 13:50,5.5,0,100,907.9,3.7,3.4
03 08 2018 14:00,5.3,0,100,908.7,3.1,3
03 08 2018 14:10,5.3,0,100,908.7,3.1,3
03 08 2018 14:20,5.3,0,100,908.7,3.1,3
03 08 2018 14:30,5.3,0,100,908.7,3.1,3
03 08 2018 14:40,5.3,0,100,908.7,3.1,3
03 08 2018 14:50,5.3,0,100,908.7,3.1,3
03 08 2018 15:00,5.1,0,100,909.3,3.1,2.9
03 08 2018 15:10,5.1,0,100,909.3,3.1,2.9
03 08 2018 15:20,5.1,0,100,909.3,3.1,2.9
03 08 2018 15:30,5.1,0,100,909.3,3.1,2.9
03 08 2018 15:40,5.1,0,100,909.3,3.1,2.9
03 08 2018 15:50,5.1,0,100,909.3,3.1,2.9
03 08 2018 16:00,4.4,0,100,909.8,4.4,2.6
03 08 2018 16:10,4.4,0,100,909.8,4.4,2.6
03 08 2018 16:20,4.4,0,100,909.8,4.4,2.6
03 08 2018 16:30,4.4,0,100,909.8,4.4,2.6
03 08 2018 16:40,4.4,0,100,909.8,4.4,2.6
03 08 2018 16:50,4.4,0,100,909.8,4.4,2.6
03 08 2018 17:00,5.4,0.1,100,911,2.6,3
03 08 2018 17:10,5.4,0.1,100,911,2.6,3
03 08 2018 17:20,5.4,0.1,100,911,2.6,3
03 08 2018 17:30,5.4,0.1,100,911,2.6,3
03 08 2018 17:40,5.4,0.1,100,911,2.6,3
03 08 2018 17:50,5.4,0.1,100,911,2.6,3
03 08 2018 18:00,5.1,0.1,100,911.5,3.1,3.5
03 08 2018 18:10,5.1,0.1,100,911.5,3.1,3.5
03 08 2018 18:20,5.1,0.1,100,911.5,3.1,3.5
03 08 2018 18:30,5.1,0.1,100,911.5,3.1,3.5
03 08 2018 18:40,5.1,0.1,100,911.5,3.1,3.5
03 08 2018 18:50,5.1,0.1,100,911.5,3.1,3.5
03 08 2018 19:00,4.7,0.1,100,912,4,3.5
03 08 2018 19:10,4.7,0.1,100,912,4,3.5
03 08 2018 19:20,4.7,0.1,100,912,4,3.5
03 08 2018 19:30,4.7,0.1,100,912,4,3.5
03 08 2018 19:40,4.7,0.1,100,912,4,3.5
03 08 2018 19:50,4.7,0.1,100,912,4,3.5
03 08 2018 20:00,3.4,0.1,99,912.7,4.8,3.3
03 08 2018 20:10,3.4,0.1,99,912.7,4.8,3.3
03 08 2018 20:20,3.4,0.1,99,912.7,4.8,3.3
03 08 2018 20:30,3.4,0.1,99,912.7,4.8,3.3
03 08 2018 20:40,3.4,0.1,99,912.7,4.8,3.3
03 08 2018 20:50,3.4,0.1,99,912.7,4.8,3.3
03 08 2018 21:00,2.8,0,93,912.8,3.2,2.8
03 08 2018 21:10,2.8,0,93,912.8,3.2,2.8
03 08 2018 21:20,2.8,0,93,912.8,3.2,2.8
03 08 2018 21:30,2.8,0,93,912.8,3.2,2.8
03 08 2018 21:40,2.8,0,93,912.8,3.2,2.8
03 08 2018 21:50,2.8,0,93,912.8,3.2,2.8
03 08 2018 22:00,2.2,0,95,913.2,4.7,2.2
03 08 2018 22:10,2.2,0,95,913.2,4.7,2.2
03 08 2018 22:20,2.2,0,95,913.2,4.7,2.2
03 08 2018 22:30,2.2,0,95,913.2,4.7,2.2
03 08 2018 22:40,2.2,0,95,913.2,4.7,2.2
03 08 2018 22:50,2.2,0,95,913.2,4.7,2.2
03 08 2018 23:00,1.9,0,100,913.7,3.6,1.9
03 08 2018 23:10,1.9,0,100,913.7,3.6,1.9
03 08 2018 23:20,1.9,0,100,913.7,3.6,1.9
03 08 2018 23:30,1.9,0,100,913.7,3.6,1.9
03 08 2018 23:40,1.9,0,100,913.7,3.6,1.9
03 08 2018 23:50,1.9,0,100,913.7,3.6,1.9
03 09 2018 00:00,1.3,0,98,914,3.4,1.3
03 09 2018 00:10,1.3,0,98,914,3.4,1.3
03 09 2018 00:20,1.3,0,98,914,3.4,1.3
03 09 2018 00:30,1.3,0,98,914,3.4,1.3
03 09 2018 00:40,1.3,0,98,914,3.4,1.3
03 09 2018 00:50,1.3,0,98,914,3.4,1.3
03 09 2018 01:00,2.1,0,90,914.7,1.1,1.9
03 09 2018 01:10,2.1,0,90,914.7,1.1,1.9
03 09 2018 01:20,2.1,0,90,914.7,1.1,1.9
03 09 2018 01:30,2.1,0,90,914.7,1.1,1.9
03 09 2018 01:40,2.1,0,90,914.7,1.1,1.9
03 09 2018 01:50,2.1,0,90,914.7,1.1,1.9
03 09 2018 02:00,3.8,0,89,916.1,3.1,3.1
03 09 2018 02:10,3.8,0,89,916.1,3.1,3.1
03 09 2018 02:20,3.8,0,89,916.1,3.1,3.1
03 09 2018 02:30,3.8,0,89,916.1,3.1,3.1
03 09 2018 02:40,3.8,0,89,916.1,3.1,3.1
03 09 2018 02:50,3.8,0,89,916.1,3.1,3.1
03 09 2018 03:00,5.8,0,64,917.4,1.8,3.8
03 09 2018 03:10,5.8,0,64,917.4,1.8,3.8
03 09 2018 03:20,5.8,0,64,917.4,1.8,3.8
03 09 2018 03:30,5.8,0,64,917.4,1.8,3.8
03 09 2018 03:40,5.8,0,64,917.4,1.8,3.8
03 09 2018 03:50,5.8,0,64,917.4,1.8,3.8
03 09 2018 04:00,6.7,0,55,917.7,5.8,3.8
03 09 2018 04:10,6.7,0,55,917.7,5.8,3.8
03 09 2018 04:20,6.7,0,55,917.7,5.8,3.8
03 09 2018 04:30,6.7,0,55,917.7,5.8,3.8
03 09 2018 04:40,6.7,0,55,917.7,5.8,3.8
03 09 2018 04:50,6.7,0,55,917.7,5.8,3.8
03 09 2018 05:00,6.7,0.1,43,917.9,6.9,4.4
03 09 2018 05:10,6.7,0.1,43,917.9,6.9,4.4
03 09 2018 05:20,6.7,0.1,43,917.9,6.9,4.4
03 09 2018 05:30,6.7,0.1,43,917.9,6.9,4.4
03 09 2018 05:40,6.7,0.1,43,917.9,6.9,4.4
03 09 2018 05:50,6.7,0.1,43,917.9,6.9,4.4
03 09 2018 06:00,7.1,0.1,45,918,5.1,4.3
03 09 2018 06:10,7.1,0.1,45,918,5.1,4.3
03 09 2018 06:20,7.1,0.1,45,918,5.1,4.3
03 09 2018 06:30,7.1,0.1,45,918,5.1,4.3
03 09 2018 06:40,7.1,0.1,45,918,5.1,4.3
03 09 2018 06:50,7.1,0.1,45,918,5.1,4.3
03 09 2018 07:00,7.6,0.1,41,917.8,4.4,4.7
03 09 2018 07:10,7.6,0.1,41,917.8,4.4,4.7
03 09 2018 07:20,7.6,0.1,41,917.8,4.4,4.7
03 09 2018 07:30,7.6,0.1,41,917.8,4.4,4.7
03 09 2018 07:40,7.6,0.1,41,917.8,4.4,4.7
03 09 2018 07:50,7.6,0.1,41,917.8,4.4,4.7
03 09 2018 08:00,7.9,0.1,58,917.9,4,3.9
03 09 2018 08:10,7.9,0.1,58,917.9,4,3.9
03 09 2018 08:20,7.9,0.1,58,917.9,4,3.9
03 09 2018 08:30,7.9,0.1,58,917.9,4,3.9
03 09 2018 08:40,7.9,0.1,58,917.9,4,3.9
03 09 2018 08:50,7.9,0.1,58,917.9,4,3.9
03 09 2018 09:00,7.4,0,26,918,7.7,5
03 09 2018 09:10,7.4,0,26,918,7.7,5
03 09 2018 09:20,7.4,0,26,918,7.7,5
03 09 2018 09:30,7.4,0,26,918,7.7,5
03 09 2018 09:40,7.4,0,26,918,7.7,5
03 09 2018 09:50,7.4,0,26,918,7.7,5
03 09 2018 10:00,7.4,0,85,917.7,6.6,4.6
03 09 2018 10:10,7.4,0,85,917.7,6.6,4.6
03 09 2018 10:20,7.4,0,85,917.7,6.6,4.6
03 09 2018 10:30,7.4,0,85,917.7,6.6,4.6
03 09 2018 10:40,7.4,0,85,917.7,6.6,4.6
03 09 2018 10:50,7.4,0,85,917.7,6.6,4.6
03 09 2018 11:00,6.9,0,22,917.7,7.7,4.6
03 09 2018 11:10,6.9,0,22,917.7,7.7,4.6
03 09 2018 11:20,6.9,0,22,917.7,7.7,4.6
03 09 2018 11:30,6.9,0,22,917.7,7.7,4.6
03 09 2018 11:40,6.9,0,22,917.7,7.7,4.6
03 09 2018 11:50,6.9,0,22,917.7,7.7,4.6
03 09 2018 12:00,4.6,0,22,917.5,5.4,3.8
03 09 2018 12:10,4.6,0,22,917.5,5.4,3.8
03 09 2018 12:20,4.6,0,22,917.5,5.4,3.8
03 09 2018 12:30,4.6,0,22,917.5,5.4,3.8
03 09 2018 12:40,4.6,0,22,917.5,5.4,3.8
03 09 2018 12:50,4.6,0,22,917.5,5.4,3.8
03 09 2018 13:00,5.3,0,26,918,3.1,3.5
03 09 2018 13:10,5.3,0,26,918,3.1,3.5
03 09 2018 13:20,5.3,0,26,918,3.1,3.5
03 09 2018 13:30,5.3,0,26,918,3.1,3.5
03 09 2018 13:40,5.3,0,26,918,3.1,3.5
03 09 2018 13:50,5.3,0,26,918,3.1,3.5
03 09 2018 14:00,3.8,0,28,917.4,3.8,3
03 09 2018 14:10,3.8,0,28,917.4,3.8,3
03 09 2018 14:20,3.8,0,28,917.4,3.8,3
03 09 2018 14:30,3.8,0,28,917.4,3.8,3
03 09 2018 14:40,3.8,0,28,917.4,3.8,3
03 09 2018 14:50,3.8,0,28,917.4,3.8,3
03 09 2018 15:00,2.6,0,25,917.2,5.7,2
03 09 2018 15:10,2.6,0,25,917.2,5.7,2
03 09 2018 15:20,2.6,0,25,917.2,5.7,2
03 09 2018 15:30,2.6,0,25,917.2,5.7,2
03 09 2018 15:40,2.6,0,25,917.2,5.7,2
03 09 2018 15:50,2.6,0,25,917.2,5.7,2
03 09 2018 16:00,2.4,0,26,916.9,5.2,1.5
03 09 2018 16:10,2.4,0,26,916.9,5.2,1.5
03 09 2018 16:20,2.4,0,26,916.9,5.2,1.5
03 09 2018 16:30,2.4,0,26,916.9,5.2,1.5
03 09 2018 16:40,2.4,0,26,916.9,5.2,1.5
03 09 2018 16:50,2.4,0,26,916.9,5.2,1.5
03 09 2018 17:00,1.9,0,23,916.8,4.9,0.7
03 09 2018 17:10,1.9,0,23,916.8,4.9,0.7
03 09 2018 17:20,1.9,0,23,916.8,4.9,0.7
03 09 2018 17:30,1.9,0,23,916.8,4.9,0.7
03 09 2018 17:40,1.9,0,23,916.8,4.9,0.7
03 09 2018 17:50,1.9,0,23,916.8,4.9,0.7
03 09 2018 18:00,2.3,0,9,917.2,4.2,0.3
03 09 2018 18:10,2.3,0,9,917.2,4.2,0.3
03 09 2018 18:20,2.3,0,9,917.2,4.2,0.3
03 09 2018 18:30,2.3,0,9,917.2,4.2,0.3
03 09 2018 18:40,2.3,0,9,917.2,4.2,0.3
03 09 2018 18:50,2.3,0,9,917.2,4.2,0.3
03 09 2018 19:00,1.3,0,1,917,2.8,-0.2
03 09 2018 19:10,1.3,0,1,917,2.8,-0.2
03 09 2018 19:20,1.3,0,1,917,2.8,-0.2
03 09 2018 19:30,1.3,0,1,917,2.8,-0.2
03 09 2018 19:40,1.3,0,1,917,2.8,-0.2
03 09 2018 19:50,1.3,0,1,917,2.8,-0.2
03 09 2018 20:00,1,0,12,916.7,5.4,-0.4
03 09 2018 20:10,1,0,12,916.7,5.4,-0.4
03 09 2018 20:20,1,0,12,916.7,5.4,-0.4
03 09 2018 20:30,1,0,12,916.7,5.4,-0.4
03 09 2018 20:40,1,0,12,916.7,5.4,-0.4
03 09 2018 20:50,1,0,12,916.7,5.4,-0.4
03 09 2018 21:00,0.6,0,2,916.3,2.3,-0.5
03 09 2018 21:10,0.6,0,2,916.3,2.3,-0.5
03 09 2018 21:20,0.6,0,2,916.3,2.3,-0.5
03 09 2018 21:30,0.6,0,2,916.3,2.3,-0.5
